age,gender,education,province,employment_status,industry,marital_status,location_type,years_experience,work_hours_per_week,income,health_score,life_satisfaction
79,female,bachelors,Quebec,retired,education,single,urban,53,42.4,88348.55,67.54,7.29
53,female,high_school,BC,employed,healthcare,married,urban,29,36.1,81235.16,77.11,5.68
31,male,high_school,Prairies,employed,retail,married,suburban,9,42.1,28148.88,81.55,6.11
48,non_binary,bachelors,Ontario,retired,finance,divorced,rural,31,32.3,67827.49,71.57,6.25
65,male,high_school,Quebec,employed,retail,divorced,suburban,46,26.8,90075.97,65.56,6.72
32,male,high_school,Prairies,retired,finance,single,rural,10,36.4,34770.17,82.16,7.31
25,female,high_school,Atlantic,employed,finance,single,suburban,5,36.1,12237.86,92.11,6.63
31,female,high_school,BC,employed,tech,divorced,urban,15,34.2,26953.9,87.87,6.03
40,male,masters,Alberta,employed,education,single,rural,26,42.9,59551.27,92.15,5.43
77,male,bachelors,Atlantic,employed,healthcare,single,rural,54,53.1,105647.15,62.14,6.95
74,female,high_school,Alberta,employed,retail,divorced,suburban,53,25.5,79604.15,61.6,7.93
79,male,high_school,Prairies,employed,finance,divorced,rural,62,46.8,89005.03,64.78,7.18
57,female,bachelors,Ontario,employed,retail,divorced,suburban,37,55.8,85956.7,76.55,6.16
38,female,high_school,Alberta,employed,tech,married,suburban,23,47.3,53642.06,84.28,7.12
33,non_binary,masters,Prairies,employed,healthcare,divorced,rural,11,42.1,62234.84,85.8,6.71
62,male,masters,Quebec,student,education,married,suburban,42,43.4,93011.06,73.44,6.09
35,male,masters,BC,employed,education,divorced,rural,17,47.1,57280.34,80.46,5.16
64,male,bachelors,Ontario,student,finance,divorced,urban,45,10.0,103061.0,69.52,6.27
70,male,bachelors,Ontario,student,healthcare,married,suburban,50,19.5,104476.8,77.07,7.01
41,male,bachelors,Quebec,employed,education,married,urban,23,41.4,62138.03,74.84,6.06
43,male,high_school,Ontario,employed,healthcare,single,suburban,26,40.5,57773.71,81.22,6.0
42,female,high_school,Prairies,retired,retail,single,rural,22,53.5,32103.94,86.21,5.51
77,female,high_school,Ontario,student,tech,single,suburban,58,39.3,98436.01,61.32,8.39
77,male,bachelors,Ontario,employed,healthcare,married,suburban,55,33.1,111445.66,61.31,7.25
77,male,high_school,Ontario,unemployed,healthcare,divorced,rural,56,25.3,95065.14,67.84,7.83
62,male,high_school,Prairies,employed,education,married,urban,41,35.7,100523.26,74.55,6.27
58,male,bachelors,Atlantic,employed,construction,divorced,rural,40,32.5,83379.89,72.42,5.93
46,female,phd,BC,employed,finance,divorced,urban,27,42.9,78301.78,81.05,5.86
32,female,high_school,Alberta,employed,finance,divorced,urban,17,46.5,39626.41,76.17,7.2
62,female,bachelors,Atlantic,retired,construction,single,suburban,41,28.4,87765.13,69.19,6.0
18,female,high_school,Ontario,student,construction,married,suburban,0,48.0,-13997.77,95.8,8.25
42,female,masters,Quebec,employed,construction,married,urban,22,14.7,68796.99,71.16,6.27
24,female,high_school,Quebec,employed,retail,single,rural,14,52.7,-214.49,97.87,6.95
26,male,masters,Prairies,employed,education,divorced,urban,10,31.2,44149.3,86.14,6.69
41,female,high_school,BC,employed,education,single,suburban,20,50.6,51678.35,88.83,6.37
18,female,masters,Ontario,employed,tech,divorced,rural,0,32.8,15374.74,95.82,8.95
61,male,high_school,Prairies,employed,finance,single,rural,39,42.1,96004.36,73.93,5.54
25,male,high_school,Alberta,employed,education,married,suburban,8,34.6,16158.18,88.51,6.98
41,male,high_school,BC,employed,construction,single,rural,28,46.7,45531.66,90.27,6.17
80,female,high_school,BC,retired,retail,married,rural,63,30.1,76459.73,59.87,7.85
28,male,masters,Prairies,retired,tech,divorced,urban,9,24.9,48018.84,85.45,6.89
68,male,bachelors,Atlantic,employed,finance,single,urban,47,45.8,113262.67,67.03,7.87
34,male,bachelors,Quebec,employed,finance,single,suburban,19,34.5,50381.8,79.43,6.38
25,female,phd,Atlantic,employed,finance,single,urban,5,56.9,40319.34,92.94,6.48
52,male,bachelors,BC,employed,tech,single,rural,36,44.8,90099.89,78.34,6.73
52,female,phd,Quebec,retired,retail,married,suburban,39,51.5,75528.98,78.19,5.44
50,female,high_school,BC,unemployed,retail,married,suburban,28,52.3,47396.73,79.01,5.95
76,female,masters,BC,employed,education,single,suburban,62,35.5,105645.03,70.7,6.97
22,female,high_school,BC,employed,education,married,rural,4,40.0,11951.0,87.45,7.17
59,male,bachelors,Alberta,retired,finance,single,urban,42,43.2,100066.17,79.0,5.51
56,male,bachelors,Quebec,employed,construction,married,rural,40,32.1,82402.45,74.33,6.41
75,female,bachelors,Alberta,employed,healthcare,married,rural,51,33.9,98298.64,67.22,7.74
58,male,bachelors,Quebec,retired,education,married,urban,42,40.4,81783.49,72.11,6.39
45,male,bachelors,Alberta,employed,retail,single,urban,27,51.9,62388.4,78.35,6.79
24,female,phd,Alberta,employed,finance,single,rural,8,40.6,37795.13,89.11,6.96
26,male,phd,Alberta,employed,retail,married,urban,8,43.3,36383.37,86.57,7.0
25,female,phd,Prairies,student,finance,divorced,rural,5,46.5,41540.46,83.08,6.9
29,male,phd,Alberta,student,tech,married,urban,9,51.7,48888.86,84.44,7.12
51,female,masters,Atlantic,employed,education,single,rural,31,47.0,76295.81,75.14,6.1
50,female,phd,Atlantic,employed,construction,divorced,urban,33,37.4,80754.96,76.34,5.23
65,female,masters,BC,employed,tech,single,suburban,51,36.9,99440.76,61.75,7.11
72,male,bachelors,Ontario,employed,education,divorced,urban,49,11.0,104972.02,71.98,6.51
40,female,masters,Alberta,employed,construction,divorced,rural,19,31.6,57752.41,80.27,5.41
79,female,masters,Ontario,employed,construction,single,urban,59,45.6,115528.21,67.18,7.02
41,male,bachelors,Ontario,employed,construction,married,urban,17,30.1,68348.24,83.27,6.74
54,male,bachelors,BC,retired,retail,single,rural,32,31.2,83491.77,70.05,6.83
52,female,high_school,Ontario,employed,retail,single,urban,31,49.3,61917.75,79.39,5.92
61,female,masters,Ontario,employed,healthcare,married,suburban,43,28.9,93278.93,67.46,6.64
57,male,phd,Atlantic,employed,retail,married,suburban,39,31.5,84465.83,75.94,5.62
39,female,bachelors,Ontario,unemployed,finance,divorced,suburban,18,31.6,54752.06,72.44,6.51
44,male,high_school,Quebec,employed,healthcare,divorced,suburban,32,26.2,47076.94,68.35,6.27
52,male,high_school,Alberta,employed,finance,married,urban,32,32.5,78569.94,80.85,5.37
18,female,bachelors,Alberta,student,healthcare,single,suburban,1,12.0,13411.19,92.52,8.02
52,female,high_school,Ontario,retired,finance,married,urban,34,63.8,63867.9,75.27,6.01
54,female,bachelors,BC,unemployed,healthcare,married,suburban,37,36.9,90939.39,75.16,5.6
64,non_binary,phd,Quebec,employed,education,married,suburban,48,40.5,87571.22,63.34,6.76
31,male,bachelors,BC,employed,construction,single,rural,12,18.4,50260.61,84.35,6.13
20,male,bachelors,BC,unemployed,education,single,urban,4,30.7,10081.36,89.36,8.2
18,male,masters,Ontario,employed,healthcare,divorced,urban,2,40.1,25573.06,87.46,8.91
22,female,bachelors,Prairies,employed,tech,married,urban,5,25.9,26660.77,87.19,7.82
43,female,high_school,Ontario,retired,healthcare,married,rural,25,48.2,73568.27,74.71,6.53
72,male,bachelors,Atlantic,student,tech,single,urban,50,41.4,99956.9,60.59,7.39
80,male,bachelors,Prairies,student,construction,married,rural,59,35.8,90343.43,65.66,8.24
31,male,masters,Quebec,student,finance,single,urban,7,39.2,36543.65,78.19,6.53
56,female,masters,Prairies,employed,healthcare,divorced,suburban,41,33.9,86837.28,76.69,6.29
44,male,high_school,Ontario,unemployed,tech,divorced,rural,26,20.0,66930.45,80.9,6.27
26,male,high_school,Ontario,employed,construction,divorced,rural,11,41.7,17957.58,91.55,6.43
32,female,high_school,BC,retired,healthcare,single,rural,10,25.9,35068.9,85.62,6.41
32,female,bachelors,Ontario,employed,education,single,urban,14,39.6,47274.04,99.11,6.24
43,female,masters,Atlantic,employed,education,married,suburban,23,50.4,67608.31,78.0,5.82
59,female,bachelors,Ontario,employed,healthcare,divorced,rural,38,38.3,88102.57,75.05,6.68
77,male,bachelors,Alberta,employed,healthcare,single,rural,56,40.9,101998.74,62.82,7.21
30,female,phd,Alberta,employed,retail,divorced,urban,20,28.8,47824.6,89.9,6.54
68,female,masters,BC,employed,construction,divorced,urban,52,24.9,110192.9,70.32,6.67
80,non_binary,high_school,Prairies,employed,education,divorced,suburban,60,49.8,86791.64,55.92,7.66
49,male,masters,Prairies,employed,finance,married,rural,27,48.5,78281.66,72.98,5.56
56,male,bachelors,Alberta,employed,healthcare,single,rural,36,52.2,98361.53,73.5,6.14
66,male,high_school,Atlantic,employed,retail,single,rural,52,61.6,81130.22,64.02,6.51
69,male,bachelors,Quebec,employed,construction,single,rural,48,34.5,99891.23,71.8,6.4
78,female,high_school,Atlantic,student,healthcare,married,rural,56,43.3,100354.04,58.42,7.67
49,male,high_school,Alberta,employed,education,married,suburban,27,51.2,55926.19,76.04,5.79
21,male,bachelors,Atlantic,employed,tech,married,rural,6,59.7,19196.31,86.77,8.09
47,male,bachelors,Quebec,employed,construction,married,urban,26,51.1,74463.84,82.88,5.1
54,male,bachelors,Prairies,student,tech,single,rural,39,30.8,103784.09,73.95,5.76
40,male,bachelors,Alberta,unemployed,education,married,rural,22,56.7,62655.55,84.89,6.26
56,male,high_school,Ontario,employed,finance,single,rural,40,48.7,79396.06,76.3,5.9
62,male,bachelors,Quebec,student,construction,divorced,rural,48,42.8,93136.99,66.12,5.57
32,female,bachelors,Quebec,student,retail,single,rural,12,35.1,37136.45,94.9,7.62
60,female,bachelors,Quebec,student,healthcare,divorced,suburban,44,55.6,93846.84,78.07,6.21
46,male,phd,Prairies,employed,healthcare,married,urban,27,68.0,93975.49,73.48,5.42
53,non_binary,high_school,Atlantic,student,healthcare,divorced,suburban,35,38.4,53929.4,70.15,6.41
30,female,bachelors,BC,employed,retail,married,urban,19,41.8,25628.89,90.73,6.61
49,female,bachelors,Ontario,unemployed,retail,single,urban,30,45.2,74024.63,81.55,6.53
24,male,masters,Alberta,student,education,single,urban,8,29.4,34304.98,90.44,7.15
76,male,masters,Atlantic,student,retail,married,rural,63,40.2,103527.64,61.43,7.77
68,male,high_school,Quebec,employed,healthcare,single,suburban,48,46.4,83642.62,66.4,6.66
39,male,bachelors,Prairies,student,construction,divorced,urban,18,59.4,61764.64,87.6,6.25
45,male,high_school,Quebec,employed,healthcare,divorced,urban,26,38.2,57877.35,81.62,5.72
19,female,phd,Atlantic,employed,retail,divorced,rural,0,44.9,12601.92,85.39,7.71
59,male,high_school,Alberta,employed,retail,married,rural,39,33.4,80440.04,80.05,6.33
62,male,masters,Ontario,unemployed,education,divorced,suburban,42,49.0,101892.32,81.88,6.15
79,female,high_school,Quebec,employed,tech,divorced,urban,60,38.7,95105.06,62.71,7.2
74,male,bachelors,Prairies,employed,retail,divorced,urban,53,49.4,96292.67,63.74,6.77
70,female,phd,Prairies,employed,tech,divorced,urban,52,33.1,122124.77,76.21,7.06
23,female,masters,BC,employed,finance,divorced,suburban,3,24.3,36750.67,95.71,7.81
45,female,high_school,Prairies,student,tech,divorced,rural,26,32.2,61388.02,86.81,6.54
45,non_binary,bachelors,BC,unemployed,retail,married,rural,28,55.4,68016.1,80.75,5.88
61,male,high_school,Ontario,employed,healthcare,divorced,suburban,43,38.4,99774.59,69.85,7.12
61,female,bachelors,Alberta,retired,healthcare,married,rural,46,38.9,84756.56,76.95,6.74
37,female,high_school,BC,unemployed,retail,married,urban,22,43.0,31233.76,80.37,6.32
47,female,high_school,Quebec,student,education,married,urban,27,40.8,56421.95,76.07,6.04
79,female,bachelors,Atlantic,unemployed,construction,divorced,suburban,61,45.0,99873.64,66.12,8.01
28,female,high_school,Quebec,retired,retail,divorced,rural,11,41.5,9080.39,85.74,6.58
75,male,bachelors,Alberta,student,retail,married,suburban,55,70.0,104939.73,64.3,6.53
72,female,high_school,Prairies,employed,construction,married,suburban,51,53.6,86748.21,62.72,7.05
45,male,high_school,Atlantic,employed,education,divorced,rural,29,49.2,64650.29,77.84,6.1
42,female,bachelors,Quebec,unemployed,education,single,suburban,27,48.2,52545.67,76.9,5.73
56,female,high_school,Atlantic,employed,finance,single,urban,35,44.3,67263.72,67.68,5.74
79,male,bachelors,BC,employed,finance,single,suburban,61,37.0,109312.93,66.16,8.15
50,male,bachelors,Alberta,employed,finance,divorced,urban,30,47.0,83943.94,77.89,6.06
18,male,bachelors,Quebec,employed,education,married,urban,0,27.3,749.93,93.47,7.24
74,female,bachelors,Prairies,employed,tech,single,suburban,54,28.3,104222.77,68.11,5.87
44,female,bachelors,Atlantic,student,retail,married,urban,28,36.7,50694.76,79.08,4.95
79,female,high_school,Prairies,student,finance,divorced,suburban,62,43.9,107978.65,69.01,8.46
74,female,masters,Atlantic,employed,tech,married,suburban,58,32.8,105063.04,68.13,6.83
69,female,phd,Quebec,employed,retail,single,rural,51,45.1,99358.45,70.82,6.59
30,male,high_school,Alberta,employed,construction,divorced,suburban,7,26.1,24277.14,87.75,8.0
58,male,bachelors,Ontario,employed,construction,married,urban,43,37.2,95071.11,70.95,5.65
20,female,high_school,Quebec,employed,construction,divorced,suburban,4,24.4,-7140.23,93.8,8.25
56,male,high_school,Prairies,student,tech,single,suburban,31,42.0,88677.25,74.77,5.94
23,male,high_school,Ontario,retired,construction,single,rural,4,56.8,4637.84,87.25,7.89
25,male,bachelors,Alberta,employed,healthcare,single,rural,6,40.8,31777.71,91.74,7.49
44,male,high_school,Prairies,employed,healthcare,divorced,urban,27,50.8,67509.91,77.01,5.08
26,female,masters,Alberta,unemployed,construction,divorced,urban,10,50.4,34709.35,84.6,6.69
79,male,bachelors,Atlantic,retired,retail,single,urban,62,37.7,95700.31,67.87,7.22
54,female,high_school,Quebec,retired,tech,divorced,urban,35,46.5,81538.34,76.49,6.14
50,male,masters,Alberta,employed,tech,divorced,rural,28,27.3,85252.14,93.65,5.69
68,male,high_school,Prairies,employed,construction,single,suburban,56,38.0,81325.47,75.01,6.78
59,male,bachelors,Quebec,employed,education,single,rural,45,40.4,80074.04,61.64,6.45
61,female,bachelors,Prairies,employed,finance,married,rural,46,30.8,85040.09,74.2,7.1
41,female,high_school,Prairies,unemployed,retail,single,rural,27,41.2,45789.22,71.58,6.44
32,female,high_school,Ontario,employed,tech,divorced,suburban,11,33.1,34911.78,82.33,6.61
76,female,high_school,BC,student,finance,married,suburban,60,49.5,101364.59,67.68,7.45
71,female,high_school,Alberta,employed,construction,divorced,rural,55,27.6,91903.59,66.5,6.03
49,female,high_school,Alberta,retired,retail,married,suburban,25,32.2,61036.26,66.64,5.73
49,female,phd,Ontario,employed,tech,divorced,rural,32,40.0,76825.44,77.9,5.51
41,female,high_school,Atlantic,employed,construction,married,rural,20,29.8,49887.25,77.99,6.71
58,male,high_school,Alberta,employed,healthcare,married,urban,41,57.2,91466.22,77.21,6.5
69,female,phd,Ontario,employed,tech,divorced,rural,53,17.2,112504.25,60.12,5.8
66,female,bachelors,Alberta,student,healthcare,married,rural,48,32.6,89113.21,67.16,6.84
79,female,bachelors,Alberta,employed,construction,divorced,rural,64,42.3,91814.07,69.67,8.13
66,male,high_school,Prairies,unemployed,healthcare,divorced,urban,51,57.1,95851.81,59.65,6.14
75,female,bachelors,Ontario,employed,education,married,suburban,54,24.0,100214.83,69.58,7.66
69,female,high_school,Atlantic,employed,construction,single,urban,45,29.9,72763.38,65.7,6.81
29,male,bachelors,Alberta,student,construction,single,suburban,7,34.2,43353.81,84.43,6.24
79,female,phd,Atlantic,retired,education,single,urban,66,55.3,106527.87,59.88,6.98
56,male,bachelors,BC,employed,finance,divorced,suburban,34,47.4,103404.91,73.23,7.35
19,male,high_school,Ontario,retired,retail,divorced,urban,0,32.0,-6856.1,84.37,7.81
20,male,bachelors,Ontario,employed,finance,single,rural,2,51.5,24109.42,83.07,7.98
66,male,bachelors,Ontario,employed,education,divorced,suburban,44,43.1,106684.06,74.84,5.76
54,female,bachelors,Prairies,student,finance,single,urban,35,41.3,86910.33,74.93,6.89
66,male,bachelors,Ontario,employed,retail,divorced,urban,41,44.1,92280.63,72.01,6.92
73,male,bachelors,Prairies,employed,retail,divorced,urban,58,30.8,94558.58,68.33,7.14
34,male,bachelors,BC,unemployed,tech,divorced,suburban,17,43.4,53695.48,90.03,7.36
76,male,phd,Quebec,employed,finance,single,rural,62,37.2,112429.34,68.71,6.6
66,male,masters,Prairies,employed,education,married,urban,46,67.5,96975.19,73.38,6.17
19,female,high_school,Alberta,employed,tech,divorced,suburban,0,56.5,13238.75,93.2,7.94
19,male,bachelors,Ontario,student,finance,divorced,suburban,1,38.1,26121.38,85.31,7.62
45,female,high_school,Quebec,unemployed,construction,single,rural,25,44.3,58595.24,88.09,6.45
71,female,masters,Prairies,employed,retail,single,rural,50,29.8,97231.01,62.13,7.14
40,male,high_school,Atlantic,student,education,divorced,rural,16,43.4,49315.32,82.67,6.8
54,female,bachelors,Atlantic,employed,construction,divorced,suburban,41,28.4,65725.66,77.04,6.12
49,male,masters,Alberta,unemployed,finance,married,suburban,28,34.8,93355.71,89.49,5.5
50,male,high_school,Quebec,retired,retail,divorced,rural,31,45.9,60588.92,79.21,5.85
18,male,masters,BC,student,retail,divorced,urban,0,29.0,2141.31,86.14,8.34
36,male,bachelors,Prairies,employed,construction,divorced,rural,17,30.1,61418.79,79.63,6.23
79,female,bachelors,Atlantic,unemployed,finance,married,rural,58,31.5,100548.25,63.37,7.74
19,female,bachelors,Atlantic,employed,finance,divorced,rural,0,38.8,14527.87,90.14,7.7
70,male,masters,Prairies,employed,education,married,rural,57,53.8,108074.39,70.13,7.06
61,female,high_school,Atlantic,employed,tech,single,urban,45,51.7,73737.54,74.79,6.51
43,male,bachelors,BC,employed,retail,divorced,urban,21,35.5,67744.64,80.13,7.29
49,female,bachelors,Atlantic,employed,tech,divorced,rural,29,53.6,69805.18,80.25,5.19
23,male,masters,Prairies,employed,tech,divorced,suburban,1,39.5,22270.64,82.29,7.62
49,male,bachelors,Ontario,employed,retail,divorced,suburban,26,41.6,78181.26,69.56,7.04
72,male,bachelors,Atlantic,student,finance,married,urban,56,39.4,104722.87,73.91,7.57
21,male,masters,Prairies,employed,retail,single,rural,2,46.9,18466.33,80.84,8.63
72,female,masters,Ontario,employed,construction,single,suburban,57,31.3,109114.03,67.96,6.44
28,female,bachelors,Atlantic,employed,tech,married,urban,7,35.2,25292.67,81.93,7.0
73,male,high_school,Atlantic,unemployed,education,married,urban,58,51.2,82257.2,76.81,6.36
76,female,bachelors,Prairies,employed,retail,married,urban,58,35.7,85693.37,76.23,6.92
